"","Title","News_Link","Date","Status","Status_Frequency"
"1","杭州“市民之家”热心服务台胞获赠锦旗_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201808/t20180827_12051806.htm",2018-08-27,"Compatriots",3
"2","福建漳浦严厉打击侵犯台胞台企合法权益犯罪行为_中共中央台湾工作...","http://www.gwytb.gov.cn/tbqy/zongshu/201808/t20180829_12052802.htm",2018-08-22,"Compatriots",1
"3","大连市举办台商台胞暨两岸婚姻家庭迎中秋联谊会_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180920_12062323.htm",2020-12-09,"Compatriots",6
"4","台湾居民来往大陆通行证(台胞证)办理及签注方法_中共中央台湾工作...","http://www.gwytb.gov.cn/zn/crj/201211/t20121119_3378792.htm",2020-12-09,"Compatriots",6
"5","台胞可报考2018年全国导游资格考试_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201807/t20180730_12042048.htm",2018-07-24,"Compatriots",2
"6","台胞在家突然晕倒病危 上海有关方合力抢救_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201412/t20141216_8382943.htm",2014-12-05,"Compatriots",1
"7","台湾未能加入RCEP,国台办:欢迎台胞台企到大陆投资创业,共享发展...","http://www.gwytb.gov.cn/m/news/202011/t20201125_12308216.htm",2020-11-25,"Compatriots",3
"8","江西省台胞服务中心、台胞法律服务中心挂牌成立_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170124_11686977.htm",2017-01-22,"Compatriots",3
"9","成都市温江区积极解决台胞子女入学问题_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201808/t20180830_12053491.htm",2020-12-09,"Compatriots",6
"10","陈元丰走访慰问天津台胞并调研_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190118_12133070.htm",2019-01-18,"Compatriots",2
"11","国台办介绍各地各部门落实“31条惠及台胞措施”新进展_中共中央...","http://www.gwytb.gov.cn/wyly/201806/t20180627_11969492.htm",2018-06-27,"Compatriots",2
"12","济宁市公安机关出台服务台商台胞十项措施_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wl/zxzx_43786/201412/t20141216_8377799.htm",2014-05-22,"Compatriots",1
"13","陈云林就制订台胞投资保护法实施细则发表谈话_中共中央台湾工作...","http://www.gwytb.gov.cn/zlzx/location/201101/t20110123_1725680.htm",2020-12-08,"Compatriots",10
"14","广州市花都区积极做好台胞子女就学服务工作_中共中央台湾工作办公...","http://www.gwytb.gov.cn/service/201704/t20170427_11755044.htm",2017-04-26,"Compatriots",1
"15","南充市台办春节前夕走访慰问台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170111_11676097.htm",2020-12-08,"Compatriots",10
"16","各地服务台胞举措_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/fuwu/",2020-12-08,"Compatriots",10
"17","全国台联2018年台胞青年千人夏令营四川・成都分营开营_中共中央...","http://www.gwytb.gov.cn/local/201807/t20180718_12036921.htm",2018-07-18,"Compatriots",2
"18","关心台胞生活_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/service/gxtbsh/",2020-12-08,"Compatriots",10
"19","台胞子女就读大陆中小学和幼儿园_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zn/jx/201103/t20110323_1797068.htm",2020-12-08,"Compatriots",10
"20","南京市台办组织第十五批台商台胞集中换领驾照_中共中央台湾工作...","http://www.gwytb.gov.cn/service/cxggjc/201802/t20180209_11923287.htm",2020-12-08,"Compatriots",10
"21","台湾律师加盟杭州台商法律服务团 助力台胞分享大陆发展红利_中共...","http://www.gwytb.gov.cn/service/cxggjc/201803/t20180322_11936215.htm",2020-12-08,"Compatriots",10
"22","全国台联2018年台胞青年千人夏令营江西分营圆满闭营_中共中央台湾...","http://www.gwytb.gov.cn/local/201807/t20180731_12042364.htm",2018-07-31,"Compatriots",2
"23","上海:30位台胞获颁首批台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180925_12095065.htm",2018-09-19,"Compatriots",1
"24","台胞怎样在大陆申请学历学位认证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jx/re2/qt2/201710/t20171019_11854342.htm",2020-12-08,"Compatriots",10
"25","广东珠海等地召开台胞台商台属迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201602/t20160204_11382441.htm",2016-02-04,"Compatriots",2
"26","四川多地召开2018年台胞台属迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201802/t20180224_11926724.htm",2018-02-13,"Compatriots",8
"27","湖北省台办:台湾当局应尽快让留鄂台胞返乡,不要再以各种借口阻挠...","http://www.gwytb.gov.cn/wyly/202002/t20200208_12240176.htm",2020-02-08,"Compatriots",2
"28","渔业船员职业资格考试对台胞开放_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201807/t20180706_11972419.htm",2020-12-08,"Compatriots",10
"29","上海市闵行区台办发行《台胞服务手册》 详列台胞服务清单_中共...","http://www.gwytb.gov.cn/service/cxggjc/201508/t20150804_10401249.htm",2015-08-04,"Compatriots",1
"30","大陆出台多项措施方便台胞就医 费用享受国民待遇_中共中央台湾...","http://www.gwytb.gov.cn/zn/doctor/201401/t20140113_5518508.htm",2012-10-30,"Compatriots",1
"31","台胞在大陆从事个体经营_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/jy/rd1/lai1/201312/t20131231_5456870.htm",2020-12-08,"Compatriots",10
"32","国台办介绍落实“31条惠及台胞措施”最新进展_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201805/t20180530_11960291.htm",2018-05-30,"Compatriots",1
"33","【图解】台胞在大陆:住房公积金怎么用?_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy/rd1/lai1/201802/t20180201_11913634.htm",2020-12-07,"Compatriots",7
"34","2018年海峡西岸台胞青年夏令营在厦门闭营_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/lajlwl/qt/201807/t20180720_12038205.htm",2020-12-07,"Compatriots",7
"35","深圳落实惠台措施 99项政策同等适用台胞_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/31t/bjzl/201807/t20180725_12039860.html",2018-07-24,"Compatriots",2
"36","陈元丰走访慰问重庆、四川台胞并调研_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/201912/t20191231_12229461.htm",2019-12-31,"Compatriots",3
"37","刘军川在福建、浙江走访慰问台胞台企_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/202001/t20200103_12230163.htm",2019-12-31,"Compatriots",3
"38","服务台胞在行动_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/service/",2020-12-03,"Compatriots",7
"39","山东省台办主任孟庆斌到济阳县调研 强调尽心尽情为台胞服务_中共...","http://www.gwytb.gov.cn/service/201706/t20170609_11798189.htm",2017-06-09,"Compatriots",1
"40","四川各地台胞踊跃申领台胞居住证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180912_12058507.htm",2020-12-07,"Compatriots",7
"41","沈阳市台办落实“31条惠及台胞措施” 积极为台商台胞排忧解难...","http://www.gwytb.gov.cn/service/cxggjc/201804/t20180419_11945671.htm",2018-04-19,"Compatriots",1
"42","桂林市台办展现服务台商台胞工作新气象_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201405/t20140523_6201376.htm",2020-12-07,"Compatriots",7
"43","福建全面启动“台商台胞服务年”活动 出台21项措施_中共中央台湾...","http://www.gwytb.gov.cn/service/cxggjc/201803/t20180319_11934782.htm",2018-03-19,"Compatriots",1
"44","台湾未能加入RCEP,国台办:欢迎台胞台企到大陆投资创业,共享发展...","http://www.gwytb.gov.cn/wyly/202011/t20201125_12308211.htm",2020-11-25,"Compatriots",3
"45","海南首日办理港澳台居民居住证 台胞期盼便利生活_中共中央台湾...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055917.htm",2018-09-01,"Compatriots",7
"46","郑州市副市长黄卿慰问困难台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170123_11685588.htm",2020-12-07,"Compatriots",7
"47","大爱跨越海峡 台胞捐献骨髓救海南白血病患者_中共中央台湾工作...","http://www.gwytb.gov.cn/guide_rules/exe/201305/t20130531_4265921.htm",2013-05-29,"Compatriots",1
"48","南昌市台胞台属联谊会隆重召开2017年迎春座谈会_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170120_11683944.htm",2017-01-19,"Compatriots",1
"49","“两岸一家亲・银企话共赢――齐鲁银行临沂分行、临沂市台胞台属...","http://www.gwytb.gov.cn/service/fwtqfa/201809/t20180906_12056298.htm",2018-09-06,"Compatriots",3
"50","台胞就业_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/jy/zcfg/l/201312/t20131231_5456896.htm",2007-09-29,"Compatriots",1
"51","关于深化来宁台胞宜学宜业宜游宜居服务的若干措施(全文)_中共中央...","http://www.gwytb.gov.cn/31t/bjzl/201808/t20180809_12045193.html",2018-08-09,"Compatriots",1
"52","裴金佳在江西、广东走访慰问台胞台企_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/202001/t20200103_12230101.htm",2019-12-31,"Compatriots",3
"53","厦门市湖里区台办创新举措 首聘专业律师顾问团服务台胞台商_中共...","http://www.gwytb.gov.cn/service/201709/t20170915_11843184.htm",2020-12-07,"Compatriots",7
"54","裴金佳在福建走访慰问台胞台企_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190122_12134222.htm",2019-01-22,"Compatriots",1
"55","24小时,湖南省市合力护送突发脑梗的台胞回乡_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201707/t20170719_11820791.htm",2020-12-06,"Compatriots",7
"56","龙明彪走访慰问湖南台胞并调研_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190124_12135453.htm",2019-01-24,"Compatriots",1
"57","台胞台企踊跃捐款捐物支持大陆抗击疫情_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/202002/t20200207_12240013.htm",2020-12-06,"Compatriots",7
"58","国台办:福建平潭积极建设台胞台企登陆第一家园先行区_中共中央...","http://www.gwytb.gov.cn/wyly/201906/t20190626_12177770.htm",2019-06-26,"Compatriots",2
"59","昆山出台68项措施 加快给予台胞同等待遇_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jj/zxzx_43783/201807/t20180723_12039033.htm",2018-07-18,"Compatriots",2
"60","服仗ò在行_中共中央_彻ぷ鬓k公室、赵号_呈辙k公室","http://big5.gwytb.gov.cn/service/",2020-12-06,"Compatriots",7
"61","台胞子女就读大陆中小学和幼儿园_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jx/zcfg_43770/l_43873/201312/t20131226_5433591.htm",2020-12-06,"Compatriots",7
"62","台胞权益保护法律体系_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/tbqy/protect/",2020-12-06,"Compatriots",7
"63","台胞如何办理“金马证”_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/zzks/zcfg_43779/qt_43894/201710/t20171019_11854366.htm",2008-01-21,"Compatriots",1
"64","伊犁州党委统战部走访调研台资企业并慰问台胞_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180921_12063187.htm",2020-12-06,"Compatriots",7
"65","台胞西藏旅游入藏批准函_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/wl/re7/lai7/201312/t20131230_5451295.htm",2020-12-06,"Compatriots",7
"66","厦门将设53个受理点方便台胞申办台湾居民居住证_中共中央台湾工作...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055870.htm",2018-08-29,"Compatriots",1
"67","在沪台胞积极申领港澳台居民居住证:“我们期盼已久”_中共中央...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055890.htm",2018-09-01,"Compatriots",7
"68","“盐城服务”品牌深受台胞台企好评_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/fwtqfa/201807/t20180720_12038213.htm",2018-07-20,"Compatriots",1
"69","连云港市全心全意打造台胞台商维权服务“心品牌”_中共中央台湾...","http://www.gwytb.gov.cn/service/gxtbsh/201711/t20171127_11872442.htm",2020-12-05,"Compatriots",11
"70","各地服仗òe措_中共中央_彻ぷ鬓k公室、赵号_呈辙k公室","http://big5.gwytb.gov.cn/fuwu/",2020-12-09,"Compatriots",6
"71","聊城市委常委、副市长张旋宇走访台企台胞_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170123_11685593.htm",2020-12-05,"Compatriots",11
"72","一分钟看懂卡式台胞证_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/wl/re7/lai7/201705/t20170522_11786612.htm",2015-07-02,"Compatriots",1
"73","沈阳市常住台胞踊跃申领台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056307.htm",2020-12-05,"Compatriots",11
"74","台籍教师:居住证的便利将吸引更多台胞到平潭来_中共中央台湾工作...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180911_12058250.htm",2018-09-06,"Compatriots",3
"75","9月21日起全面启用电子台胞证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/wl/zcfg_43785/l_43904/201509/t20150915_10675288.htm",2015-09-15,"Compatriots",1
"76","广西台办开展“六个一”活动 解决台商台胞实际问题_中共中央台湾...","http://www.gwytb.gov.cn/service/201603/t20160315_11410085.htm",2016-03-15,"Compatriots",1
"77","无锡市公安局热心服务台胞 用真情签注满意_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wl/zxzx_43786/201412/t20141216_8377072.htm",2014-03-31,"Compatriots",2
"78","2018年广西台商台胞台属中秋茶话会暨涉台政策法规宣讲活动在南宁...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180920_12062325.htm",2020-12-05,"Compatriots",11
"79","四川各地春节前夕慰问台企台胞送温暖_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201401/t20140127_5597117.htm",2014-01-27,"Compatriots",2
"80","湖北襄阳市台办出台措施服务台胞台企_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jj/zxzx_43783/201312/t20131231_5456408.htm",2013-09-12,"Compatriots",1
"81","成都市温江区建立专务联络员机制为台企台胞提供“保姆式”服务...","http://www.gwytb.gov.cn/service/cxggjc/201805/t20180516_11955338.htm",2020-12-05,"Compatriots",11
"82","设台胞优先标志 广西开通台胞就医绿色通道_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201307/t20130726_4502320.htm",2013-07-24,"Compatriots",1
"83","南通市服务台企台胞网格化管理经验交流会在如皋举行_中共中央台湾...","http://www.gwytb.gov.cn/fuwu/201410/t20141020_7705631.htm",2014-10-20,"Compatriots",1
"84","海协会副会长孙亚夫:台胞理应分享一带一路建设机遇_中共中央台湾...","http://www.gwytb.gov.cn/lhjl/la2008/201602/t20160204_11382943.htm",2020-12-05,"Compatriots",11
"85","台胞在就业过程中自身权益受到侵害时的解决途径_中共中央台湾工作...","http://www.gwytb.gov.cn/jy/rd1/lai1/201312/t20131231_5456872.htm",2020-12-05,"Compatriots",11
"86","台胞权益保障_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/tbqy/",2020-12-05,"Compatriots",11
"87","江苏多地开展走访台企慰问台胞活动_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201401/t20140122_5574206.htm",2014-01-22,"Compatriots",1
"88","江西各地举行台胞台属中秋联谊会_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180927_12095659.htm",2018-09-27,"Compatriots",1
"89","福建省公布台胞投诉求助专线电话_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201410/t20141016_7672584.htm",2020-12-05,"Compatriots",11
"90","台胞怎样参加司法考试_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/jy/zcfg/l/201710/t20171019_11854267.htm",2008-06-12,"Compatriots",1
"91","港澳台居民居住证正式办理 重庆台胞踊跃申办_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056303.htm",2020-12-05,"Compatriots",11
"92","台胞后裔美籍华人刘伟民回湖南桂阳家乡探亲考察_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201407/t20140729_6760725.htm",2014-07-28,"Compatriots",1
"93","广州市越秀区台办积极做好台胞子女入学服务_中共中央台湾工作办公...","http://www.gwytb.gov.cn/service/201705/t20170502_11757370.htm",2020-12-05,"Compatriots",11
"94","台胞子女游东山岛谒祖_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/lajlwl/trueth/201106/t20110616_1890011.htm",2020-12-04,"Compatriots",9
"95","东莞市台胞台属联谊会举办2017年春节联谊活动_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170120_11683792.htm",2020-12-04,"Compatriots",9
"96","广西开通台胞就医绿色通道_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201307/t20130725_4495751.htm",2013-07-25,"Compatriots",1
"97","日照市扎实做好台胞台属统计工作_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201511/t20151125_11093737.htm",2020-12-04,"Compatriots",9
"98","珠海各方联手救助台胞林伯勋_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201602/t20160215_11386786.htm",2016-02-15,"Compatriots",1
"99","漳州市成立台胞台商服务中心_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201612/t20161230_11667557.htm",2016-12-30,"Compatriots",2
"100","农业农村部部署全国农机购置补贴工作 台胞台企可享同等利好_中共...","http://www.gwytb.gov.cn/tbqy/zongshu/201806/t20180622_11967752.htm",2018-03-26,"Compatriots",1
"101","国台办介绍“31条惠及台胞措施”最新落实情况_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201805/t20180516_11955399.htm",2018-05-16,"Compatriots",2
"102","平潭先行先试 台胞在大陆首获个税财政补贴_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy/rd1/lai1/201312/t20131231_5456818.htm",2013-04-17,"Compatriots",2
"103","厦门65周岁以上台胞可办理敬老卡_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201805/t20180504_11951757.htm",2020-12-04,"Compatriots",9
"104","广西河池市台办走访慰问台商台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170120_11683827.htm",2020-12-04,"Compatriots",9
"105","大连市常住台胞申领台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056310.htm",2020-12-04,"Compatriots",9
"106","各地服仗òe措_中共中央_彻ぷ鬓k公室、赵号_呈辙k公室","http://big5.gwytb.gov.cn/fuwu/index_3.htm",2020-12-04,"Compatriots",9
"107","效率高!申请3小时后台胞领到居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180904_12055468.htm",2018-09-04,"Compatriots",3
"108","河南省台办慰问在豫就读台湾学子并举行台胞青年中秋联谊会_中共...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180928_12096220.htm",2020-12-09,"Compatriots",6
"109","台胞换大陆驾照平潭也能办理_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201412/t20141216_8382212.htm",2012-06-06,"Compatriots",1
"110","四川遂宁专设服务绿色通道 方便台胞更换驾照_中共中央台湾工作...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201412/t20141216_8379192.htm",2011-08-19,"Compatriots",1
"111","台胞就医常见问题_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/zn/doctor/201401/t20140113_5518512.htm",2020-12-04,"Compatriots",9
"112","贯彻“31条惠及台胞措施” 厦门推出60条举措_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201804/t20180416_11943852.htm",2018-04-16,"Compatriots",3
"113","灌云县警方“绿色通道”倾力服务台胞办证 喜获满页“宝贵意见...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056309.htm",2020-12-04,"Compatriots",9
"114","台商台胞学习跨境电商“杭州经验”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/cxggjc/201809/t20180914_12060265.htm",2018-09-14,"Compatriots",1
"115","大陆首家依托公立医院的台胞医院上海开诊_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201312/t20131220_5399561.htm",2013-11-29,"Compatriots",1
"116","各地台商台胞热议两岸领导人会面_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/local/201511/t20151111_11017106.htm",2015-11-11,"Compatriots",1
"117","台胞到闽参加司法考试趋热_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/jy/rd1/qita1/201312/t20131231_5456859.htm",2012-12-21,"Compatriots",3
"118","广州举办说明会 宣讲“广州60条惠及台胞措施”_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201808/t20180827_12051807.htm",2018-08-27,"Compatriots",3
"119","常州市台办多措并举积极维护台商台胞合法权益_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201310/t20131017_5049323.htm",2020-12-03,"Compatriots",7
"120","广西台办举办2018台商台胞台属普法维权(桂林专场)宣讲活动_中共...","http://www.gwytb.gov.cn/service/fwtqfa/201809/t20180928_12096209.htm",2020-12-03,"Compatriots",7
"121","台胞权益保护工作动态_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/tbqy/zongshu/",2020-12-03,"Compatriots",7
"122","江西涉台商事仲裁中心正式揭牌 依法维护台企台胞合法权益_中共...","http://www.gwytb.gov.cn/tbqy/zongshu/201808/t20180824_12051182.htm",2018-08-24,"Compatriots",1
"123","台胞在大陆参保切实享受国家福利待遇_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/m/news/201912/t20191211_12224791.htm",2019-12-11,"Compatriots",2
"124","台胞在大陆发生医疗纠纷如何投诉?_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201512/t20151203_11156519.htm",2015-12-03,"Compatriots",7
"125","山东省台办召开台胞权益保护工作会座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/tbqy/201504/t20150423_9644615.htm",2015-04-23,"Compatriots",2
"126","台胞申请定居大陆后,如何得知是否获得批准?_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jl/zxzx_43777/201512/t20151203_11156585.htm",2015-12-03,"Compatriots",7
"127","在祖国大陆台胞可参选各级人代会代表_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zlzx/zchb/201101/t20110123_1725774.htm",1996-03-10,"Compatriots",1
"128","灌h警方“G色通道”A力服仗òkC 喜@M“F意...","http://big5.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056309.htm",2020-12-03,"Compatriots",7
"129","广东省台联举办全省台联系统专职干部暨优秀中青年台胞培训班_中共...","http://www.gwytb.gov.cn/local/201704/t20170421_11751516.htm",2017-04-20,"Compatriots",1
"130","台胞在报考大陆高校博士、硕士研究生时需要做哪些准备?_中共中央...","http://www.gwytb.gov.cn/jx/re2/lai2/201312/t20131230_5446807.htm",2020-12-03,"Compatriots",7
"131","广州就推进落实“31条惠及台胞措施”开展调研_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201804/t20180426_11948700.htm",2020-12-03,"Compatriots",7
"132","茂名市委台办协调相关职能部门为台商解读“31条惠及台胞措施...","http://www.gwytb.gov.cn/service/201803/t20180330_11938505.htm",2020-12-02,"Compatriots",3
"133","俞正声出席第三届台胞社团论坛开幕式并致辞_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201409/t20140915_7328645.htm",2014-09-12,"Compatriots",1
"134","漯河市台办召开台胞台属迎新年座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201701/t20170126_11688522.htm",2017-01-24,"Compatriots",1
"135","李克强:继续提供优惠,让台商台胞和大陆共享发展机遇_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201703/t20170315_11723679.htm",2017-03-15,"Compatriots",1
