"","Country","year","Military_GDP"
"1","USA",1949,5.27202005452264
"2","USA",1950,5.08196344009797
"3","USA",1951,10.1670211701177
"4","USA",1952,13.8600809955537
"5","Japan",1952,2.07093453434132
"6","USA",1953,13.5802724604204
"7","Japan",1953,2.03107183580388
"8","Korea, South",1953,2.36286919831224
"9","USA",1954,11.7365955271285
"10","Japan",1954,2.19315121200462
"11","Korea, South",1954,5.85365853658537
"12","USA",1955,10.1562448635985
"13","Japan",1955,2.10287352888464
"14","Korea, South",1955,6.24226348364279
"15","USA",1956,9.90101162224892
"16","Japan",1956,1.7458767591433
"17","Korea, South",1956,8.32778147901399
"18","USA",1957,9.99243948515759
"19","Japan",1957,1.49655102548281
"20","Korea, South",1957,6.79611650485437
"21","USA",1958,10.0717639870091
"22","Japan",1958,1.43218671728071
"23","Korea, South",1958,7.42744712247909
"24","USA",1959,9.43877296397373
"25","Japan",1959,1.26418656133674
"26","Korea, South",1959,7.63888888888889
"27","USA",1960,8.99312458715278
"28","Japan",1960,1.08059488934833
"29","Korea, South",1960,7.15754833401892
"30","USA",1961,9.15603150017123
"31","Japan",1961,0.916660202208259
"32","Korea, South",1961,6.72614962251201
"33","USA",1962,9.33167294545843
"34","Japan",1962,0.882981583852488
"35","Korea, South",1962,6.8671963677639
"36","USA",1963,8.83189118618018
"37","Japan",1963,0.902911616201838
"38","Korea, South",1963,4.82385908726982
"39","USA",1964,8.0512811057284
"40","Japan",1964,0.87504612187006
"41","Korea, South",1964,4.13443960061876
"42","USA",1965,7.58724717722602
"43","Japan",1965,0.899713990141788
"44","Korea, South",1965,4.41047487783486
"45","USA",1966,8.43530028594507
"46","Japan",1966,0.879421011265392
"47","Korea, South",1966,4.68887369346488
"48","USA",1967,9.41779593255137
"49","Japan",1967,0.836230312650205
"50","Korea, South",1967,4.68514253950608
"51","USA",1968,9.26845427468793
"52","Japan",1968,0.793866529243094
"53","Korea, South",1968,4.73064179653945
"54","USA",1969,8.63326379509104
"55","Japan",1969,0.772551017292608
"56","Korea, South",1969,4.69439489249836
"57","USA",1970,8.03274358404085
"58","Japan",1970,0.773230313218779
"59","Korea, South",1970,4.40334654337296
"60","USA",1971,6.94306960936061
"61","Japan",1971,0.824119314063094
"62","Korea, South",1971,4.73498860643367
"63","USA",1972,6.51975692434716
"64","Japan",1972,0.842475301533426
"65","Korea, South",1972,5.010068079394
"66","USA",1973,5.8938705911674
"67","Japan",1973,0.815014489146474
"68","Korea, South",1973,4.03473216443858
"69","USA",1974,5.95411119676015
"70","Japan",1974,0.862068323351509
"71","Korea, South",1974,4.54144562770677
"72","USA",1975,5.62267909613336
"73","Japan",1975,0.907387056975466
"74","Korea, South",1975,4.87871647715607
"75","USA",1976,5.19107142902555
"76","Japan",1976,0.891651107922652
"77","Korea, South",1976,5.90815568383151
"78","Taiwan",1976,6.23631475373486
"79","USA",1977,5.15561735127125
"80","Japan",1977,0.890681061512105
"81","Korea, South",1977,6.03493912122816
"82","Taiwan",1977,6.91767376960008
"83","USA",1978,4.94308724791688
"84","Japan",1978,0.891286374043561
"85","Korea, South",1978,6.37145061919441
"86","Taiwan",1978,7.01927829955512
"87","USA",1979,4.95199153527265
"88","Japan",1979,0.907392110929058
"89","Korea, South",1979,5.5258765683501
"90","Taiwan",1979,7.58445391931781
"91","USA",1980,5.15353746651637
"92","Japan",1980,0.906794213450064
"93","Korea, South",1980,6.39877211320904
"94","Taiwan",1980,7.2900418684837
"95","USA",1981,5.64654125624258
"96","Japan",1981,0.91664815297164
"97","Korea, South",1981,6.41585729782663
"98","Taiwan",1981,6.64804107159774
"99","USA",1982,6.81405709441284
"100","Japan",1982,0.926375566882048
"101","Korea, South",1982,6.24089448534207
"102","Taiwan",1982,6.99032291680639
"103","USA",1983,6.32114425976717
"104","Japan",1983,0.952297427190256
"105","Korea, South",1983,5.72681360842501
"106","Taiwan",1983,6.33639092997482
"107","USA",1984,6.23641652963897
"108","Japan",1984,0.958404158758974
"109","Korea, South",1984,5.25453539277515
"110","Taiwan",1984,5.72578097998912
"111","USA",1985,6.4532192046686
"112","Japan",1985,0.95939791396488
"113","Korea, South",1985,5.22553168462828
"114","Taiwan",1985,6.09224246572966
"115","USA",1986,6.62652265789842
"116","Japan",1986,0.962811252055438
"117","Korea, South",1986,4.94825625094216
"118","Taiwan",1986,5.44337191105497
"119","USA",1987,6.42027402288488
"120","Japan",1987,0.965510912838467
"121","Korea, South",1987,4.46860555045954
"122","Taiwan",1987,4.93279146369974
"123","USA",1988,6.0712777020948
"124","Japan",1988,0.94970885873148
"125","Korea, South",1988,4.28121593799201
"126","Taiwan",1988,5.14477422324282
"127","USA",1989,5.87120600804653
"128","China",1989,2.4801866410957
"129","Japan",1989,0.940781035886882
"130","Korea, South",1989,4.2902352949115
"131","Taiwan",1989,5.28133524056482
"132","USA",1990,5.60517529438794
"133","China",1990,2.49325830326962
"134","Japan",1990,0.941791766132693
"135","Korea, South",1990,4.00230428922185
"136","Taiwan",1990,5.22287852923741
"137","USA",1991,4.88342939776313
"138","China",1991,2.34690960872377
"139","Japan",1991,0.940821904384541
"140","Korea, South",1991,3.71112784107967
"141","Taiwan",1991,4.96639670302918
"142","USA",1992,4.97046680768284
"143","China",1992,2.48475857240288
"144","Japan",1992,0.948312440331709
"145","Korea, South",1992,3.69027269027269
"146","Taiwan",1992,4.69305547120325
"147","USA",1993,4.60435029507644
"148","China",1993,1.96190727189541
"149","Japan",1993,0.950663824755226
"150","Korea, South",1993,3.41789483823914
"151","Taiwan",1993,4.95541097036132
"152","USA",1994,4.2152646751779
"153","China",1994,1.72496768849044
"154","Japan",1994,0.922871800066077
"155","Korea, South",1994,3.19275266895546
"156","Taiwan",1994,4.66140030381275
"157","USA",1995,3.8602457917389
"158","China",1995,1.7163366422182
"159","Japan",1995,0.916876617063548
"160","Korea, South",1995,2.8923329861881
"161","Taiwan",1995,4.10726477526989
"162","USA",1996,3.55498220635218
"163","China",1996,1.68605113779847
"164","Japan",1996,0.911247075685009
"165","Korea, South",1996,2.74347966333348
"166","Taiwan",1996,4.01973971547634
"167","USA",1997,3.40556224418855
"168","China",1997,1.67480208725926
"169","Japan",1997,0.920437898126436
"170","Korea, South",1997,2.66338780772064
"171","Taiwan",1997,3.72365565247716
"172","USA",1998,3.20155849896996
"173","China",1998,1.70330037386999
"174","Japan",1998,0.938594774652954
"175","Korea, South",1998,2.79444200391705
"176","Taiwan",1998,3.29117783126571
"177","USA",1999,3.08567678324746
"178","China",1999,1.92205312057776
"179","Japan",1999,0.94524833744442
"180","Korea, South",1999,2.49257721979611
"181","Taiwan",1999,3.14550307673499
"182","USA",2000,3.11224214697679
"183","China",2000,1.88735378338211
"184","Japan",2000,0.931136155654198
"185","Korea, South",2000,2.45731751955534
"186","Taiwan",2000,2.65474927689962
"187","USA",2001,3.12380980266703
"188","China",2001,2.07394260800124
"189","Japan",2001,0.947079855833118
"190","Korea, South",2001,2.42787774091322
"191","Taiwan",2001,2.65597974446285
"192","USA",2002,3.44761809928778
"193","China",2002,2.17514171475857
"194","Japan",2002,0.955834671547417
"195","Korea, South",2002,2.31547437727618
"196","Taiwan",2002,2.43800136318356
"197","USA",2003,3.82716104473623
"198","China",2003,2.1020316167467
"199","Japan",2003,0.95567390575915
"200","Korea, South",2003,2.32866461778874
"201","Taiwan",2003,2.34545913821703
"202","USA",2004,4.01631273640692
"203","China",2004,2.05227346805883
"204","Japan",2004,0.941607638434338
"205","Korea, South",2004,2.33106488784499
"206","Taiwan",2004,2.24727781521333
"207","USA",2005,4.09003487632585
"208","China",2005,1.98886432028757
"209","Japan",2005,0.93158165258881
"210","Korea, South",2005,2.46728273718568
"211","Taiwan",2005,2.13111703777213
"212","USA",2006,4.04162723678969
"213","China",2006,1.99465265061962
"214","Japan",2006,0.917197037578028
"215","Korea, South",2006,2.48836866984537
"216","Taiwan",2006,1.96743876969812
"217","USA",2007,4.0796550810522
"218","China",2007,1.90431095555058
"219","Japan",2007,0.897626654117959
"220","Korea, South",2007,2.46963885628269
"221","Taiwan",2007,1.99820094785881
"222","USA",2008,4.46382735629989
"223","China",2008,1.87568853278407
"224","Japan",2008,0.920247843496941
"225","Korea, South",2008,2.48940298462204
"226","Taiwan",2008,2.1473733836719
"227","USA",2009,4.88559968011478
"228","China",2009,2.06268754965908
"229","Japan",2009,0.983777356941048
"230","Korea, South",2009,2.60351432204998
"231","Taiwan",2009,2.32609094822731
"232","USA",2010,4.92264167706996
"233","China",2010,1.9074366626988
"234","Japan",2010,0.958851325032142
"235","Korea, South",2010,2.46271920274076
"236","Taiwan",2010,2.03764941522932
"237","USA",2011,4.84017399490275
"238","China",2011,1.83415827484875
"239","Japan",2011,0.986806292524448
"240","Korea, South",2011,2.47295558071308
"241","Taiwan",2011,2.05829991196322
"242","USA",2012,4.47740121867267
"243","China",2012,1.83645175975595
"244","Japan",2012,0.96742708258411
"245","Korea, South",2012,2.49929970695323
"246","Taiwan",2012,2.11652953784728
"247","USA",2013,4.04667887867098
"248","China",2013,1.86694378614298
"249","Japan",2013,0.950865860745235
"250","Korea, South",2013,2.50300919011492
"251","Taiwan",2013,1.94278150634835
"252","USA",2014,3.69589111827138
"253","China",2014,1.90584810515868
"254","Japan",2014,0.966999334469794
"255","Korea, South",2014,2.52993594270347
"256","Taiwan",2014,1.84770607012097
"257","USA",2015,3.47784616819686
"258","China",2015,1.91045740644745
"259","Japan",2015,0.959251330366382
"260","Korea, South",2015,2.49498136452362
"261","Taiwan",2015,1.86645758522873
"262","USA",2016,3.41894060128079
"263","China",2016,1.93003680826769
"264","Japan",2016,0.944046434760285
"265","Korea, South",2016,2.45957788108271
"266","Taiwan",2016,1.82081689662001
"267","USA",2017,3.31338528335912
"268","China",2017,1.89602959761441
"269","Japan",2017,0.933306110064556
"270","Korea, South",2017,2.42148900075187
"271","Taiwan",2017,1.82339791058034
"272","USA",2018,3.3162444576718
"273","China",2018,1.89634067643401
"274","Japan",2018,0.93728299833636
"275","Korea, South",2018,2.50303538901831
"276","Taiwan",2018,1.74296896497148
"277","USA",2019,3.41310666834644
"278","China",2019,1.88859795289795
"279","Japan",2019,0.93060218321466
"280","Korea, South",2019,2.67358547392568
"281","Taiwan",2019,1.72601159785949
